"zone_id","polygon_provenance","offset","angle_deg","angle_source","mean_aspect_deg","orientation_weight","n_orientation_cells","orientation_resultant_length","transect_id","distance","x","y","elevation_m","slope_deg"
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",85.5519404639274,711498,1976983.19756131,-631.975006103516,6.50525363215942
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",0,711389.805228628,1976898,-645.691167752105,16.5223432023957
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",62.6280272086723,711395.499690279,1976960.36860507,-634.869995117188,5.39533498576238
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",125.256054417345,711401.19415193,1977022.73721014,-625.803156777403,14.7849256388399
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",187.884081626017,711406.888613581,1977085.10581521,-615.734723379209,9.89978484816682
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",250.512108834689,711412.583075232,1977147.47442029,-607.495260879265,13.0186642503828
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",313.140136043362,711418.277536883,1977209.84302536,-598.716954855631,14.6317356910501
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",375.768163252034,711423.971998535,1977272.21163043,-587.702049390829,6.78099851142973
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",438.396190460706,711429.666460186,1977334.5802355,-577.989990234375,8.6573514671419
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",501.024217669379,711435.360921837,1977396.94884057,-568.105197336151,2.85949001733777
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",563.652244878051,711441.055383488,1977459.31744564,-557.179992675781,4.67005419053267
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",626.280272086723,711446.749845139,1977521.68605071,-545.710021972656,7.49521697150068
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",688.908299295396,711452.44430679,1977584.05465579,-533.65887720622,3.32067910311296
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",751.536326504068,711458.138768442,1977646.42326086,-523.4786042837,13.7613365962567
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",814.16435371274,711463.833230093,1977708.79186593,-509.41735363319,16.2409710686274
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",876.792380921412,711469.527691744,1977771.160471,-499.054266647895,20.3174620202453
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",939.420408130085,711475.222153395,1977833.52907607,-484.358427733976,16.0553520522956
"1","author-created deterministic analytical window",-643.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",1002.04843533876,711480.916615046,1977895.89768114,-471.865418537865,6.03800774101448
